,도서명,카테고리,정가,평점,리뷰수,태그
0,변화하는 세계 질서,경제/경영,"38,000",9.5,9,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
1,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.2,0,#모의고사 #인사이트 #마이닝
2,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.4,14,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.4,5,#쿼리 #피벗 테이블 #슬라이
4,데이터로 경험을 디자인하라,경제/경영,"19,000",9.0,9,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
5,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.6,3,#자본 #미래상 #빅데이터
6,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",9.6,0,#고급 활용 #국가 공인 #아키텍처
7,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",8.6,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
8,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",9.7,0,#프로시저 #소프트웨어 설계 #데이터베이스 구축
9,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",10,1,#프로그래밍 #튜플 #딕셔너리
10,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",9.6,6,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
11,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",10,7,#크롤링 #엑셀 파일 #네이버
12,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",9.9,0,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
13,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",10,0,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
14,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",0.0,0,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
15,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.5,14,#입문서 #사례 #빅데이터 #합리적 #의사결정
16,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.9,256,#급 합격 #빈출 #단기 합격
17,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",10,3,#파이썬 프로그래밍 #지도 학습 #전처리
18,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",8.3,14,#스레드 #디자인 패턴 #무결성
19,팩트풀니스,인문,"19,800",9.5,67,#사실충실성 #탈진실 #편견
20,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,10,#회귀분석 #로지스틱 회귀 #산점도
21,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",8.9,5,#카이제곱 #시행처 #최신 출제 기준
22,파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비,컴퓨터/IT,"27,000",9.7,0,#스트림 #유닉스 #리듀스
23,2022 이기적 빅데이터분석기사 필기 기본서,컴퓨터/IT,"30,000",9.6,2,#전산통계
24,데이터 중심 애플리케이션 설계,컴퓨터/IT,"36,000",9.7,6,#인공지능 #프로그래밍 #파이썬
25,파이썬 라이브러리를 활용한 데이터 분석,컴퓨터/IT,"35,000",9.8,14,#프로그래밍 #확인 문제 #샤이니
26,"빅데이터 시대, 성과를 이끌어 내는 데이터 문해력",경제/경영,"16,000",10,0,#빅테이터필기 #빅데이터탐색 #빅데이터모델링 #빅데이터결과해석 #한국데이터산업진흥원 #빅테이터자격증
27,혼자 공부하는 R 데이터 분석,컴퓨터/IT,"22,000",10,1,#웹 애플리케이션 #크롤링 #전처리
28,2022 빅데이터분석기사 실기 한권완성 필답형+작업형,컴퓨터/IT,"30,000",9.2,0,#인사이트 #회귀분석 #시각화
29,Do it! 공공데이터로 배우는 R 데이터 분석 with 샤이니,컴퓨터/IT,"18,000",9.0,2,#쿼리 #대시보드 #슬라이
30,ADP 필기 올패키지 데이터 분석 전문가,컴퓨터/IT,"48,000",9.5,0,#시각화 #공공데이터 #numpy #matplolib #pandas
31,데이터 시각화와 탐색 with POWER BI,컴퓨터/IT,"25,000",8.8,0,#인사이트 #시각화 #과목
32,모두의 데이터 분석 with 파이썬,컴퓨터/IT,"18,000",8.9,0,#천기누설 #모의고사 #지피지기
33,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000",9.0,15,#프로그래밍 #클라우드 #직무 기술
34,2022 수제비 빅데이터분석기사 필기 1권+2권 합본세트,컴퓨터/IT,"33,000",10,5,#주식 #주식투자 #코인
35,빅데이터 커리어 가이드북,컴퓨터/IT,"20,000",0.0,3,#파이썬 #대시보드 #하이라이트
36,빅데이터 부동산 투자 2022-2023 대전망,경제/경영,"19,900",10,0,#필터링 #인코딩 #뉴스그룹
37,사례 분석으로 배우는 데이터 시각화,컴퓨터/IT,"28,000",0.0,0,#데이터분석 #데이터해석
38,파이썬 머신러닝 완벽 가이드,컴퓨터/IT,"40,000",10,1,#위젯 #인공지능 기술 #기본 사용법
39,데이터 드리븐 마케팅 101,경제/경영,"18,000",0.0,0,#리팩토링 #라스 #페이스북
40,나는 오렌지로 데이터 분석한다,컴퓨터/IT,"20,000",10,2,#아파치 #도커 #Docker #AWS #Azure #쿠버네티스 #Kubernetes #DAG #GCP #백필
41,딥러닝을 이용한 정형 데이터 분석,컴퓨터/IT,"28,000",10,0,#프로그래밍 #쿼리 #데이터베이스 일반
42,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.8,4,#카이제곱 검정 #로지스틱 회귀 #표본 분포
43,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,10,#쿼리 #대시보드 #피벗 테이블
44,Apache Airflow 기반의 데이터 파이프라인,컴퓨터/IT,"36,000",9.6,10,#R프로그래밍 #데이터분석 #통계학 #빅데이터 #텍스트마이닝 #R스튜디오 #RStudio
45,2022 이기적 컴퓨터활용능력 1급 필기 기본서 세트,컴퓨터/IT,"30,000",9.7,0,#데이터베이스 설계 #데이터베이스 구축 #거버넌스
46,데이터 과학을 위한 통계,컴퓨터/IT,"34,000",7.5,0,#파싱 #엑셀 파일 #윈도우
47,엑셀 데이터 분석 바이블,컴퓨터/IT,"38,000",9.6,0,#전처리 #내기 #인터프리터
48,Do it! 쉽게 배우는 R 데이터 분석,컴퓨터/IT,"20,000",10,6,#합성곱 신경망 #자격증 #비모수
49,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000",9.7,0,#문제집 #과목 #시험
50,웹 크롤링 & 데이터 분석 with 파이썬,컴퓨터/IT,"20,000",10,0,#실전 모의고사 #실전 모의고사 정답 #실전 대비
51,2022 빅데이터 분석 기사 실기 필답형+작업형,컴퓨터/IT,"28,000",9.5,2,#이유식 #카더라 #미국
52,2022 데이터 에듀 빅데이터 분석기사 필기,컴퓨터/IT,"32,000",10,10,#워크플로 #스토리지 #파이썬
53,데이터아키텍처 자격검정 실전문제,컴퓨터/IT,"12,000",10,0,#파이썬 #플로우 #웨어
54,2022 빅데이터분석기사 필기 한권완성,컴퓨터/IT,"30,000",10,0,#기본 문법 #전처리 #모형
55,2022 해커스공무원 최빈출 어휘 기출보카 4800 1~2권+영어단어 미니암기장 3종 세트,취업/수험서,"21,900",10,0,#간선 #질의 #비트코인
56,최강의 데이터 육아,가정/육아,"18,000",10,3,#인공지능 #스포츠 #활약
57,빅데이터를 지탱하는 기술,컴퓨터/IT,"27,000",10,8,#매핑 #회귀분석 #메소드
58,데이터 파이프라인 핵심 가이드,컴퓨터/IT,"20,000",0.0,9,#경영 전략 #시험 준비 #과목
59,2022 수제비 빅데이터분석기사 실기(필답형+작업형),컴퓨터/IT,"33,000",9.5,2,#파이썬 설치 #핵심 포인트 #데이터베이스 구축
60,실무자를 위한 그래프 데이터 활용법,컴퓨터/IT,"37,000",9.4,1,#태블로 #빅데이터 #프레젠테이션 #인포그래픽
61,십 대를 위한 영화 속 빅데이터 인문학,청소년,"13,800",9.6,6,#통계학 #빅데이터 #탐색적데이터분석 #회귀분석 #상관분석 #통계적추론 #가설검정 #확률
62,생각이 크는 인문학 15: 빅데이터,어린이(초등),"10,000",9.1,0,#서드 #오브젝트 #메서
63,파이썬 머신러닝 판다스 데이터 분석,컴퓨터/IT,"25,000",10,5,#모의고사 #로지스틱 회귀분석 #전처리
64,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.1,4,#인문교양서 #탐사연구 #과학연구 #가짜실험 #데이터누락 #통계오류 #심리조종 #사진조작 #편향성 #부주의
65,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.7,0,#머신러닝 #Python
66,데이터분석 자격검정 실전문제,컴퓨터/IT,"15,000",9.7,39,#통계 #빅데이터 #프레젠테이션 #대시보드 #인포그래픽 #플롯 #RStudio #ggplot
67,혼자 공부하는 SQL,컴퓨터/IT,"24,000",8.8,11,#프로그래밍 #모듈 #엑셀 파일
68,대시보드 설계와 데이터 시각화,컴퓨터/IT,"33,000",9.4,0,#연구보고서 #학술논문 #교차분석 #분산분석
69,"엑셀, R, 파이썬으로 시작하는 데이터 분석",컴퓨터/IT,"22,000",8.9,0,#경영 #도표 #통계 #금융 #무역 #환경 #사전 #분쟁 #기술 #혁신
70,Do it! 데이터 분석을 위한 판다스 입문,컴퓨터/IT,"17,000",9.9,0,#프로그래밍 #코딩 #비즈니스맨
71,ADP 실기 데이터 분석 전문가,컴퓨터/IT,"25,000",2.5,0,#확률분포 #정규분포 #분산분석
72,사이언스 픽션,인문,"17,000",10,0,#딥러닝 #파이썬 #인공지능
73,2022 공개적 빅데이터분석기사 실기,컴퓨터/IT,"34,000",9.6,0,#경제전망 #데이터 #생존가이드북
74,데이터 시각화 교과서,컴퓨터/IT,"28,000",9.6,7,#메타데이터 #스토리지 #레지스트리
75,데이터 분석을 위한 파이썬 철저 입문,컴퓨터/IT,"28,000",9.9,0,#베이즈 #서드 #인덱싱
76,한번에 적용하는 분석: jamovi와 패널 데이터를 활용한 기관 연구 보고서 및 학술논문 작성 방법,인문,"24,000",10,0,#물류 #네트워크 #고객 만족도
77,데이터로 읽는 세계경제,경제/경영,"15,800",8.8,1,#프로시저 #데이터 삭제 #트랜잭션
78,"3시간에 배우는 인공지능 데이터분석, 오렌지",경제/경영,"15,000",8.3,0,#마케팅 #직장인 #엔터
79,데이터 해석학 입문,컴퓨터/IT,"27,000",9.8,8,#빅데이터 #데이터분석 #파이썬 #R언어 #데이터리터러시 #데이터사이언스 #통계 #엑셀 #경영전략 #경영혁신
80,밑바닥부터 시작하는 딥러닝,컴퓨터/IT,"24,000",10,10,#합성곱 신경망 #로지스틱 #순환 신경망
81,앞으로 100년,경제/경영,"32,000",9.6,5,#집계 #사용자 #페이지
82,데이터 플랫폼 설계와 구축,컴퓨터/IT,"40,000",9.8,1,#팬더 #프레임워크 #핵심 요약
83,파이썬 데이터 사이언스 핸드북,컴퓨터/IT,"38,000",9.7,2,#4차산업혁명 #빅데이터 #디지털경제
84,파이썬 데이터 분석 실무 테크닉 100,컴퓨터/IT,"26,000",9.5,4,#오라클 #관계 데이터 모델 #데이터 모델
85,Do it! 오라클로 배우는 데이터베이스 입문,컴퓨터/IT,"25,000",9.1,6,#스레드 #스케줄링 #그래프
86,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#신경망 #통계 #예측 #지수평활화 #ARIMA #fable #modeltime #prophet #TBATs
87,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,1,#오브젝트 #코퍼스 #매핑
88,데이터 쓰기의 기술,경제/경영,"15,000",9.6,19,#대시보드 #애프터눈 #굿모닝
89,감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,경제/경영,"17,800",10,1,#식별자 #무결성 #정규
90,데이터 과학자와 데이터 엔지니어를 위한 인터뷰 문답집,컴퓨터/IT,"34,000",8.6,4,#마케팅전략 #기획성과 #창업인사이트
91,데이터 분석을 위한 SQL 레시피,컴퓨터/IT,"36,000",0.0,1,#스토리텔링 #슬라이드 #호메로스
92,파이썬 증권 데이터 분석,컴퓨터/IT,"32,000",0.0,0,#로지스틱 회귀 #베이지안 #선형 회귀
93,데이터 리터러시,경제/경영,"20,000",8.2,1,#코스피 #프레임 #스팅
94,데이터베이스 개론,컴퓨터/IT,"29,000",9.2,7,#정보시각화 #데이터비주얼라이제이션 #빅데이터
95,코드 없는 알고리즘과 데이터 구조,컴퓨터/IT,"15,000",0.0,0,#프로그래밍 #손흥민 #강남역
96,데이터과학자의 사고법,과학,"16,800",10,0,#파이썬 #스턴스 #딥 러닝
97,실전에서 바로 쓰는 시계열 데이터 처리와 분석 in R,컴퓨터/IT,"24,000",8.9,0,#프로그래밍 #튜플 #터틀
98,"AI, 빅데이터 활용이 쉬워지는 142가지 데이터셋",컴퓨터/IT,"22,000",9.7,1,#빅데이터 #경영전략
99,데이터 시각적 분석 태블로로 끝내기,컴퓨터/IT,"30,000",0.0,0,#엑셀 #스토리텔링 #프라이즈
100,관계형 데이터 모델링 프리미엄 가이드,컴퓨터/IT,"37,000",9.4,7,#디지털트윈 #디지털헬스케어 #데이터리터러시 #스마트홈트 #디지털네이티브 #알고리즘 #에듀테크 #인플루언서 #버티컬플랫폼
101,"빅데이터, 생활을 바꾸다",경제/경영,"17,000",0.0,0,#복원 #인사이트 #모의고사 정답
102,데이터 스토리,컴퓨터/IT,"22,000",10,0,#재테크 #주식 #투자전략 #장기투자 #가치투자 #퀀트 #증권 #원칙 #AI투자 #인공지능투자
103,데이터 과학을 위한 파이썬 머신러닝,컴퓨터/IT,"30,000",0.0,0,#문해력 #엑셀 #인과관계
104,금융 데이터 분석을 위한 파이썬 판다스,컴퓨터/IT,"30,000",0.0,0,#베이즈 #카이제곱 검정 #정규분포
105,직장인을 위한 데이터 분석 실무 with 파이썬,컴퓨터/IT,"28,000",9.3,16,#개인정보보호 #사생활침해 #빅데이터 #데이터거래 #테크가이드
106,"통계학, 빅데이터를 잡다",과학,"15,800",9.8,4,#MySQL #파이썬
107,차트 제작&인포그래픽 데이터 시각화,컴퓨터/IT,"25,000",0.0,3,#관계 #식별자 #물리
108,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#소양교육 #지향 #과제 #교육과정 #실천사례 #확률교육 #인공지능 #시뮬레이션
109,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.9,6,#인공지능 #테이터 #설명 가능
110,이것이 데이터 분석이다 with 파이썬,컴퓨터/IT,"28,000",0.0,0,#딥 러닝 #프로그래밍 기초 #주택 가격
111,데이터 마이닝 4/e,컴퓨터/IT,"50,000",9.0,4,#인공지능 #프로그래밍 #베이즈
112,따라하며 배우는 파이썬과 데이터 과학,컴퓨터/IT,"26,000",10,2,#엑셀 #매출 #브랜드
113,스마트공장 질적 고도화를 위한 제조AI빅데이터 분석기법,기술/공학,"20,000",9.1,4,#리터럴 #식별자 #프레임워크
114,STATA 시게열 데이터 분석 (16-17 Version),컴퓨터/IT,"30,000",9.8,0,#베이지안 #베이즈 #앙상블
115,데이터 분석의 힘,경제/경영,"14,800",0.0,0,#물류 #회전율 #생산 비용
116,MS 본사 데이터 과학자가 알려주는 헬로 데이터 과학,컴퓨터/IT,"18,000",0.0,0,#파이썬 #합성곱 신경망 #퍼셉트론
117,살아남는 것들의 비밀,경제/경영,"16,800",0.0,0,#임포 #로지스틱 #스턴스
118,2022 이기적 ADsP 데이터분석 준전문가,컴퓨터/IT,"28,000",8.8,2,#정규 표현식 #인코딩 #디렉 토리
119,"감으로 하는 투자, 데이터로 하는 투자",경제/경영,"17,500",0.0,0,#머신러닝 #기계학습 #데이터과학 #빅데이터 #팬더스 #회귀분석
120,데이터 분석과 인공지능 활용: 자연,컴퓨터/IT,"18,000",7.5,0,#튜플 #크롤링 #건강보험공단
121,데이터 분석가의 숫자유감,컴퓨터/IT,"16,000",9.7,3,#HDFS #클라우데라 #스파크 #카프카 #주키퍼 #네트워크 #아파치 #AWS #애저
122,친절한 R with 스포츠 데이터,컴퓨터/IT,"26,000",10,0,#분석 #추출 #SQL #NoSAL #Apache
123,데이터 프라이버시,경제/경영,"14,800",9.4,1,#코딩 #인문학 #마케팅 전략
124,SQL로 맛보는 데이터 전처리 분석,컴퓨터/IT,"24,000",8.8,0,#워크플로 #파싱 #정규 표현식
125,데이터 분석과 인공지능 활용: 예체능,컴퓨터/IT,"18,000",8.9,8,#마케팅 #브랜드 #디지털
126,데이터 분석과 인공지능 활용: 사회,컴퓨터/IT,"18,000",10,6,#모듈 #서울시 #엑셀 파일
127,데이터 분석과 인공지능 활용: 인문,컴퓨터/IT,"18,000",10,0,#요리 #튜플 #딕셔너리
128,핵심 데이터 모델링,컴퓨터/IT,"27,000",7.5,0,#소비심리 #데이터마케팅 #마케팅전략 #마케팅이론
129,데이터 시대의 통계교육,인문,"20,000",10,0,#빅데이터 #결정
130,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,4,#표준편차 #인터랙션 #인포 그래픽
131,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.6,0,#인사이트 #로지스틱 #클라우드
132,오렌지3로 알아가는 머신러닝 데이터 분석,컴퓨터/IT,"39,000",9.0,0,#경제학 #소비키워드 #상권
133,그림으로 배우는 데이터 과학,컴퓨터/IT,"16,000",10,0,#코드 #앙상블 #브런치
134,데이터사이언스 입문,컴퓨터/IT,"22,000",0.0,1,#인공지능 #클라우드 #출제 기준
135,비전공자도 배워서 바로 쓰는 비즈니스 데이터 분석 입문,경제/경영,"20,000",7.5,3,#로지스틱 #이진 #카이제곱 검정
136,알기 쉬운 데이터센터 인프라 입문서,기술/공학,"40,000",8.9,0,#R언어 #SQL #데이터 #데이터시각화 #빅데이터 #ggplot2 #통계 #회귀분석
137,파이썬 데이터 과학 통계 학습,컴퓨터/IT,"29,000",7.4,10,#스토리 #선 그래프 #막대
138,2022 빅데이터분석기사 실기 한권으로 끝내기(필답형+작업형),컴퓨터/IT,"33,000",9.1,1,#하둡 #엑셀 #연습 문제
139,한달 공부 데이터 분석(2022~2023),컴퓨터/IT,"17,500",10,0,#입문서 #알고리즘 #통계학 #딥러닝 #자연어처리
140,으뜸 데이터 분석과 머신러닝,컴퓨터/IT,"27,000",8.9,9,#프로그래밍 #대시보드 #케이스 스터디
141,데이터 과학 트레이닝 북,컴퓨터/IT,"33,000",10,16,#R프로그래밍 #R스튜디오 #빅데이터 #공공데이터 #데이터과학자 #데이터사이언티스트
142,R로 하는 빅데이터 분석: 데이터 전처리와 시각화,컴퓨터/IT,"28,000",10,0,#큐브 #쿼리 #웨어
143,파이썬 데이터 분석 입문,컴퓨터/IT,"27,000",8.9,0,#꺾은선 그래프 #기본 #대시보드
144,파이썬으로 시작하는 데이터 분석,컴퓨터/IT,"22,000",9.7,0,#빅데이터 #인공지능 #머신러닝
145,엔터프라이즈 데이터 플랫폼 구축,컴퓨터/IT,"40,000",10,0,#대시보드 #언스 #막대그래프
146,실무 예제로 배우는 데이터 공학,컴퓨터/IT,"27,000",9.3,23,#4차산업혁명 #사물인터넷 #인공지능
147,"문과생, 데이터 사이언티스트 되다",경제/경영,"15,000",0.0,0,#뉴노멀시대 #트렌드분석 #데이터과학자 #데이터회사
148,R을 활용한 데이터 과학,컴퓨터/IT,"34,000",0.0,0,#엑셀 #요약 연습 문제 #피벗 테이블
149,데이터 브랜딩,경제/경영,"18,000",9.1,2,#아키텍처 #다중화 #서버
150,파이썬으로 데이터 주무르기,컴퓨터/IT,"27,500",10,0,#크롤링 #정규 표현식 #오라클
151,엑셀과 비교하며 배우는 파이썬 데이터 분석,컴퓨터/IT,"24,000",10,0,#프레임 #메소드 #표현식
152,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.5,0,#프로그래밍 #파이썬 #로지스틱 회귀
153,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.5,0,#컴퓨팅 사고력 #오브젝트 #테이블
154,숫자를 돈으로 바꾸는 데이터 읽기의 기술,경제/경영,"15,000",10,0,#인공지능 #하둡 #엑셀
155,다크데이터,과학,"19,000",8.8,0,#실습 문제 #함수 활용 #데이터베이스 함수
156,진실을 드러내는 데이터 시각화의 과학과 예술,컴퓨터/IT,"28,000",10,3,#마케팅 #성공 #퍼시픽
157,데이터 과학을 위한 기초수학 with 파이썬,컴퓨터/IT,"26,000",10,0,#표현식 #하둡 #서블릿
158,쉽게 배우는 데이터 통신과 컴퓨터 네트워크,기술/공학,"27,000",6.3,0,#요구사항 #엔터 #모델링
159,데이터 분석 전문가 ADP 필기 한 권으로 끝내기(2020),컴퓨터/IT,"20,000",10,0,#명령어 #시계열 분석 #횡단면
160,"빅데이터, 사람을 읽다",경제/경영,"19,000",10,6,#서드 #부트스트랩 #매핑
161,"유전체 데이터 분석 2: NGS편, 암과 질병 유전체",과학,"45,000",10,0,#로지스틱 회귀분석 #마이닝 #합성곱 신경망
162,초보자를 위한 데이터 사이언스 입문 데이터 R지?,컴퓨터/IT,"22,000",0.0,1,#미분 방정식 #매개변수 #선형 미분 방정식
163,카카오 아레나 데이터 경진대회 1등 노하우,컴퓨터/IT,"27,000",9.3,13,#마이닝 #로지스틱 #그래프 그리기
164,2022 기사패스 빅데이터 분석기사 필기 문제집 800,컴퓨터/IT,"32,000",8.3,0,#파이썬 #마이닝 #딥 러닝
165,의사결정을 위한 데이터 과학,컴퓨터/IT,"72,000",8.8,0,#파이썬 #카프카 #하둡
166,실리콘밸리 데이터 과학자가 알려주는 따라 하며 배우는 데이터 과학,컴퓨터/IT,"26,000",8.8,4,#파이썬 #쿼리 #대시보드
167,데이터 스토리텔링,컴퓨터/IT,"25,000",10,1,#스냅샷 #필터링 #스노우
168,경영 빅데이터 분석,컴퓨터/IT,"25,000",10,0,#정규 표현식 #리눅스 #대시보드
169,밑바닥부터 시작하는 데이터 과학,컴퓨터/IT,"33,000",9.0,2,#인공지능 #딥 러닝 #의사 결정 지원 시스템
170,가볍게 떠먹는 데이터 분석 프로젝트,컴퓨터/IT,"19,800",0.0,0,#파이썬 #엑셀 #표준편차
171,실무 예제로 끝내는 R 데이터 분석,컴퓨터/IT,"22,000",0.0,0,#로지스틱 회귀 #모형 #미적분학
172,데이터 마이닝 개념과 기법,컴퓨터/IT,"50,000",10,4,#프로그래밍 #리눅스 #하둡
173,데이터 시각화 입문,컴퓨터/IT,"20,000",9.9,10,#인공지능 #컬러 이미지 #컬럼
174,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#쿼리 #피벗 테이블 #슬라이
175,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",7.1,0,#데이터분석 #마케팅 #실무엑셀 #데이터활용
176,데이터 과학자의 일,과학,"17,000",10,0,#플롯 #인수 #분산분석
177,데이터 시각화 디자인,컴퓨터/IT,"22,000",9.4,0,#트래픽 #캡쳐 #검사
178,블록데이터 혁명,경제/경영,"22,000",10,0,#빅데이터 #머신러닝 #모델링 #시각화 #NLP
179,나이스한 데이터 분석,컴퓨터/IT,"14,000",8.9,0,#셰프 #패키지 설치 #마이닝
180,데이터에듀 빅데이터 분석기사 필기(2021),컴퓨터/IT,"32,000",10,0,#파이썬 설치 #확률변수 #베이즈 정리
181,엑셀로 배우는 데이터 분석,컴퓨터/IT,"21,000",6.7,6,#과학 #커리어 #사드
182,데이터베이스 첫걸음,컴퓨터/IT,"21,000",8.6,1,#잠재 #요인 분석 #절편
183,배워서 바로 써먹는 데이터 분석 with 파이썬,컴퓨터/IT,"26,000",2.5,0,#쿼리 #엑셀 #피벗
184,파이썬을 이용한 데이터 분석의 정석,컴퓨터/IT,"32,000",10,0,#사례 #고객 #김현수
185,R 데이터 분석 머신러닝,컴퓨터/IT,"20,000",8.8,0,#로지스틱 회귀분석 #상관분석 #사용자 정의 함수
186,코딩스쿨 엔트리로 시작하는 데이터 과학,컴퓨터/IT,"9,000",10,0,#스토리지 #버퍼링 #칼빈
187,빅데이터 개론,컴퓨터/IT,"28,000",5.8,0,#인공지능 #출제 예상 문제 #출제 문제
188,멘토의 한 수 엑셀 데이터 분석 및 활용,컴퓨터/IT,"20,000",8.8,0,#전산통계
189,데이터 드리븐(Data Driven),경제/경영,"20,000",9.4,0,#상관분석 #확률변수 #분산분석
190,데이터베이스 시스템,컴퓨터/IT,"45,000",0.0,0,#프로그래밍 #타이 #회귀분석
191,데이터아키텍처 준전문가(DAsP) 한 권으로끝내기,컴퓨터/IT,"19,000",9.4,0,#경제전망 #애널리틱스 #데이터마이닝 #머신러닝 #인공지능
192,STATA 패널데이터분석 16-17버전,컴퓨터/IT,"30,000",0.0,0,#베이지안 #확률분포 #분산분석
193,수학 없이 배우는 데이터 과학과 알고리즘,컴퓨터/IT,"13,800",6.7,0,#로지스틱 회귀 #베이즈 #추가 자료
194,2022 데이터에듀 빅데이터 분석기사 실기 with R,컴퓨터/IT,"32,000",0.0,0,#정답 #과목 #최근 기출문제
195,데이터 분석을 위한 수리 모델 입문,컴퓨터/IT,"27,000",7.5,1,#시각화 #통계분석 #텍스트분석 #회귀분석 #분류분석 #군집분석
196,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.7,6,#전산통계
197,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.5,12,#성경 #스토리텔링 #조선왕조실록
198,데이터 애널리틱스,컴퓨터/IT,"35,000",9.6,0,#프로그래밍 #로지스틱 회귀분석 #상관분석
199,데이터 분석 전문가를 위한 R 데이터 분석,컴퓨터/IT,"25,000",10,1,#인공지능 #베이지안 #로지스틱
200,1년 안에 AI 빅데이터 전문가가 되는 법,자기계발,"15,800",10,0,#쿼리 #윈도우 #연산자
201,빅쿼리를 활용한 데이터 웨어하우스 구축,컴퓨터/IT,"40,000",10,0,#쿼리 #최소 #패턴
202,데이터통신과 네트워킹,기술/공학,"39,000",10,0,#청소년교양과학
203,애자일 데이터 과학 2.0,컴퓨터/IT,"28,000",9.5,3,#정렬 알고리즘 #해싱 #버블 정렬
204,파이썬 데이터 클리닝 쿡북,컴퓨터/IT,"28,000",10,10,#트래픽 #유닉스 #프레임워크
205,구글 클라우드 플랫폼상의 데이터 과학,컴퓨터/IT,"40,000",10,0,#경영전략 #빅데이터
206,파워 BI와 엑셀 파워 피봇을 사용한 데이터 분석,컴퓨터/IT,"30,000",0.0,0,#엔터 #계정 #프레임워크
207,데이터 과학 입문자를 위한 R,컴퓨터/IT,"40,000",9.2,0,#인코딩 #리눅스 #로지스틱 회귀
208,빅데이터 AI를 위한 데이터 과학,컴퓨터/IT,"35,000",9.3,0,#미국 기업 #하둡 #넷플릭스
209,데이터 분석을 떠받치는 수학,컴퓨터/IT,"27,000",9.6,0,#로지스틱 #예제 #함수
210,R SAS MS-SQL을 활용한 데이터마이닝,컴퓨터/IT,"30,000",10,0,#그림 #인프라 #관리
211,파이썬으로 배우는 데이터 과학 입문과 실습,컴퓨터/IT,"27,000",9.6,2,#정규 표현식 #자연어 처리 #문자열
212,논어와 데이터,인문,"28,000",8.8,0,#라우팅 프로토콜 #리눅스 #아키텍처
